Stichdatum,PLZ,Geschlecht,Nachname,Anzahl,Rang,ORTBEZ18
2020-10-01,1052,m,Martin,19,4,Mont-sur-Lausanne
2020-10-01,1053,w,Hennard,10,4,Bretigny-Morrens/Cugy VD
2020-10-01,1053,m,Fragniere,36,1,Bretigny-Morrens/Cugy VD
2020-10-01,1053,m,Barbey,8,5,Bretigny-Morrens/Cugy VD
2020-10-01,1054,w,Frey,24,1,Morrens VD
2020-10-01,1054,w,Würsten,10,2,Morrens VD
2020-10-01,1054,w,Berthoud,10,2,Morrens VD
2020-10-01,1054,m,Pellet,15,1,Morrens VD
2020-10-01,1055,w,Blanc,8,3,Froideville
2020-10-01,1055,w,Jaccoud,8,3,Froideville
2020-10-01,1055,w,Mazur,7,5,Froideville
2020-10-01,1055,m,Pittet,12,1,Froideville
2020-10-01,1055,m,Favre,11,2,Froideville
2020-10-01,1055,m,Martin,10,3,Froideville
2020-10-01,1058,w,Viret,6,2,Villars-Tiercelin
2020-10-01,1058,m,n/a,5,2,Villars-Tiercelin
2020-10-01,1059,w,n/a,4,3,Peney-le-Jorat
2020-10-01,1059,w,n/a,3,5,Peney-le-Jorat
2020-10-01,1061,w,Jaton,13,1,Villars-Mendraz
2020-10-01,1061,m,n/a,4,3,Villars-Mendraz
2020-10-01,1062,w,n/a,4,2,Sottens
2020-10-01,1062,m,Braillard,10,1,Sottens
2020-10-01,1062,m,n/a,5,2,Sottens
2020-10-01,1063,w,Vulliens,10,4,Boulens/Chapelle-s-Moudon/Peyres-Possens/Martherenges
2020-10-01,1063,w,Dizerens,9,5,Boulens/Chapelle-s-Moudon/Peyres-Possens/Martherenges
2020-10-01,1063,m,Besson,16,1,Boulens/Chapelle-s-Moudon/Peyres-Possens/Martherenges
2020-10-01,1063,m,Martin,13,2,Boulens/Chapelle-s-Moudon/Peyres-Possens/Martherenges
2020-10-01,1063,m,Jaton,13,2,Boulens/Chapelle-s-Moudon/Peyres-Possens/Martherenges
2020-10-01,1063,m,Guex,11,4,Boulens/Chapelle-s-Moudon/Peyres-Possens/Martherenges
2020-10-01,1063,m,Meyer,10,5,Boulens/Chapelle-s-Moudon/Peyres-Possens/Martherenges
2020-10-01,1066,w,Muminovic,12,5,Epalinges
2020-10-01,1066,m,Rey,18,1,Epalinges
2020-10-01,1066,m,Ammann,15,2,Epalinges
2020-10-01,1066,m,Pahud,13,5,Epalinges
2020-10-01,1066,m,Schneider,13,5,Epalinges
2020-10-01,1066,m,Muminovic,13,5,Epalinges
2020-10-01,1068,w,n/a,5,1,Les Monts-de-Pully
2020-10-01,1068,w,n/a,2,5,Les Monts-de-Pully
2020-10-01,1068,m,n/a,4,1,Les Monts-de-Pully
2020-10-01,1070,w,Chevalley,49,1,Puidoux
2020-10-01,1070,w,Chappuis,18,3,Puidoux
2020-10-01,1070,w,Trancart,15,4,Puidoux
2020-10-01,1070,m,Chevalley,55,1,Puidoux
2020-10-01,1070,m,Delafontaine,17,4,Puidoux
2020-10-01,1071,m,Pasche,11,4,Chexbres/St-Saphorin-Lavaux/Rivaz
2020-10-01,1072,w,Richard,20,1,Forel (Lavaux)
2020-10-01,1072,w,Delessert,13,3,Forel (Lavaux)
2020-10-01,1072,m,Delessert,18,2,Forel (Lavaux)
2020-10-01,1072,m,Wolf,12,3,Forel (Lavaux)
2020-10-01,1072,m,Mercanton,11,5,Forel (Lavaux)
2020-10-01,1073,w,Delessert,13,2,Savigny/Mollie-Margot
2020-10-01,1073,w,Lavanchy,10,5,Savigny/Mollie-Margot
2020-10-01,1073,w,Pasche,10,5,Savigny/Mollie-Margot
2020-10-01,1073,w,Moret,10,5,Savigny/Mollie-Margot
2020-10-01,1073,m,Diserens,13,2,Savigny/Mollie-Margot
2020-10-01,1073,m,Lavanchy,12,4,Savigny/Mollie-Margot
2020-10-01,1076,w,Pasche,7,1,Ferlens VD
2020-10-01,1076,w,n/a,5,3,Ferlens VD
2020-10-01,1076,w,n/a,4,4,Ferlens VD
2020-10-01,1076,m,Broillet,7,2,Ferlens VD
2020-10-01,1076,m,n/a,5,4,Ferlens VD
2020-10-01,1077,w,Pierimarchi,10,4,Servion
2020-10-01,1077,m,Cuttelod,11,3,Servion
2020-10-01,1077,m,Ismaili,10,4,Servion
2020-10-01,1077,m,Gebhardt,10,4,Servion
2020-10-01,1078,w,Delessert,7,1,Essertes
2020-10-01,1078,w,n/a,4,4,Essertes
2020-10-01,1080,w,Lüthi,7,2,Les Cullayes
2020-10-01,1080,w,Sheqiri,6,3,Les Cullayes
2020-10-01,1080,m,Sheqiri,12,1,Les Cullayes
2020-10-01,1080,m,Chatelan,10,2,Les Cullayes
2020-10-01,1080,m,Cornu,10,2,Les Cullayes
2020-10-01,1080,m,Clément,10,2,Les Cullayes
2020-10-01,1081,m,n/a,4,3,Montpreveyres
2020-10-01,1082,w,Porchet,21,1,Corcelles-le-Jorat
2020-10-01,1082,w,Chenevard,7,2,Corcelles-le-Jorat
2020-10-01,1082,w,Keller,6,3,Corcelles-le-Jorat
2020-10-01,1082,w,Ruch,6,3,Corcelles-le-Jorat
2020-10-01,1082,m,n/a,5,4,Corcelles-le-Jorat
2020-10-01,1083,w,Jordan,12,1,Mézières VD
2020-10-01,1083,w,Denizot,8,2,Mézières VD
2020-10-01,1083,w,Favre,7,5,Mézières VD
2020-10-01,1083,w,Page,7,5,Mézières VD
